,sj_div,bsns_de,account_id,account_nm,label_kor,label_eng,ifrs_ref,data_tp
264,BS1,20180701,dart_AccumulatedDepreciationFinishedProgramGross,AccumulatedDepreciationFinishedProgramGross,감가상각누계액,"Accumulated depreciation, finished program","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
265,BS1,20180701,dart_AccumulatedImpairmentLossFinishedProgramGross,AccumulatedImpairmentLossFinishedProgramGross,손상차손누계액,"Accumulated impairment loss, finished program","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
266,BS1,20180701,dart_UnfinishedProgramGross,UnfinishedProgramGross,미완성프로그램,"Unfinished program, gross","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",X
267,BS1,20180701,dart_GovernmentGrantsUnfinishedProgramGross,GovernmentGrantsUnfinishedProgramGross,정부보조금,"Government grants, unfinished program","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 122 (4)",(X)
268,BS1,20180701,dart_AccumulatedDepreciationUnfinishedProgramGross,AccumulatedDepreciationUnfinishedProgramGross,감가상각누계액,"Accumulated depreciation, unfinished program","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
269,BS1,20180701,dart_AccumulatedImpairmentLossUnfinishedProgramGross,AccumulatedImpairmentLossUnfinishedProgramGross,손상차손누계액,"Accumulated impairment loss, unfinished program","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
270,BS1,20180701,dart_UsufructContributionAssetGross,UsufructContributionAssetGross,사용수익기부자산,Usufruct contribution asset,"K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",X
271,BS1,20180701,dart_GovernmentGrantsUsufructContributionAssetGross,GovernmentGrantsUsufructContributionAssetGross,정부보조금,"Government grants, usufruct contribution asset","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 122 (4)",(X)
272,BS1,20180701,dart_AccumulatedDepreciationUsufructContributionAssetGross,AccumulatedDepreciationUsufructContributionAssetGross,감가상각누계액,"Accumulated depreciation, usufruct contribution asset","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
273,BS1,20180701,dart_AccumulatedImpairmentLossUsufructContributionAssetGross,AccumulatedImpairmentLossUsufructContributionAssetGross,손상차손누계액,"Accumulated impairment loss, usufruct contribution asset","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
274,BS1,20180701,dart_ElectronicAutomationDevelopmentGross,ElectronicAutomationDevelopmentGross,전산자동화개발,"Electronic automation development, gross","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",X
275,BS1,20180701,dart_GovernmentGrantsElectronicAutomationDevelopmentGross,GovernmentGrantsElectronicAutomationDevelopmentGross,정부보조금,"Government grants, electronic automation development","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 122 (4)",(X)
